token,pos,frequency
しいる,動詞,27
かぶる,動詞,27
駈ける,動詞,27
ええ,形容詞,27
えと,フィラー,27
浮べる,動詞,27
わざわざ,副詞,27
終る,動詞,27
泊る,動詞,27
親,名詞,27
だらし,名詞,27
くるしい,形容詞,27
狼狽,名詞,27
身の上,名詞,27
人生,名詞,27
山椒魚,名詞,27
念,名詞,27
責任,名詞,27
家人,名詞,27
ひと,接頭詞,27
いわゆる,連体詞,27
あわてる,動詞,27
教,名詞,27
お互い,名詞,27
筆,名詞,27
しゃがむ,動詞,27
鏡,名詞,27
勘定,名詞,27
歩,名詞,27
有名,名詞,27
寄こす,動詞,27
額,名詞,26
意,名詞,26
こわい,形容詞,26
救う,動詞,26
虫,名詞,26
みせる,動詞,26
示す,動詞,26
両,接頭詞,26
先刻,名詞,26
立てる,動詞,26
ごまかす,動詞,26
迄,助詞,26
気取る,動詞,26
ふく,動詞,26
ぼんやり,名詞,26
押す,動詞,26
紙,名詞,26
あう,動詞,26
ささやく,動詞,26
うそ,名詞,26
局,名詞,26
許す,動詞,26
吹く,動詞,26
別,名詞,26
さて,接続詞,26
かすか,名詞,26
さめる,動詞,26
気づく,動詞,26
次郎,名詞,26
ツネ,名詞,26
弟子,名詞,26
升,名詞,26
友,名詞,26
料理,名詞,26
工場,名詞,26
当時,名詞,26
おいしい,形容詞,26
枝,名詞,26
知らせる,動詞,26
みち,名詞,26
痩せる,動詞,26
濁る,動詞,26
仕様,名詞,26
ゆき,名詞,26
明治,名詞,26
正しい,形容詞,26
み,接頭詞,26
祖父,名詞,26
うるさい,形容詞,26
欲しい,形容詞,26
用いる,動詞,25
近所,名詞,25
堪える,動詞,25
上野,名詞,25
突然,副詞,25
いち,名詞,25
生涯,名詞,25
兵隊,名詞,25
老婆,名詞,25
書き,名詞,25
女学校,名詞,25
張る,動詞,25
こっち,名詞,25
遠慮,名詞,25
意外,名詞,25
まっすぐ,副詞,25
滑稽,名詞,25
こむ,動詞,25
背後,名詞,25
昨年,名詞,25
宿屋,名詞,25
自ら,名詞,25
わずか,副詞,25
箱,名詞,25
校長,名詞,25
勝手,名詞,25
調べる,動詞,25
かつて,副詞,25
はる,動詞,25
短い,形容詞,25
襟,名詞,25
ほめる,動詞,25
病,名詞,25
立ちどまる,動詞,25
赤,名詞,25
聖書,名詞,25
疎開,名詞,25
明日,名詞,25
何とか,副詞,25
少い,形容詞,25
お願い,名詞,25
蒼,名詞,25
仲,名詞,25
いのち,名詞,25
つぶる,動詞,25
見事,名詞,25
鳴る,動詞,24
不足,名詞,24
一瞬,名詞,24
蹴る,動詞,24
得意,名詞,24
随筆,名詞,24
別れる,動詞,24
旅館,名詞,24
誇る,動詞,24
記憶,名詞,24
葡萄,名詞,24
生れ,名詞,24
ふところ,名詞,24
こちら,名詞,24
表現,名詞,24
六月,名詞,24
気がつく,動詞,24
いかにも,副詞,24
外国,名詞,24
ついに,副詞,24
幾,名詞,24
下宿,名詞,24
関係,名詞,24
きちんと,副詞,24
金木,名詞,24
覚める,動詞,24
叔父さん,名詞,24
いやらしい,形容詞,24
籠,名詞,24
不幸,名詞,24
無くなる,動詞,24
ちょうど,副詞,24
研究,名詞,24
行ける,動詞,24
すみません,感動詞,24
簡単,名詞,24
